Title,Price,Rating,Image,Type
"HP Smartchoice Victus, AMD Ryzen 7 7445HS, 6GB RTX 3050, 16GB DDR5(Upgradeable) 512GB SSD, FHD, 144Hz, 300 nits, 15.6''/39.6cm, Win 11, M365* Office24, Blue, 2.29kg, fb3134AX/3120ax, Gaming Laptop","89,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71o5eHSQiKL._AC_UY218_.jpg,Ad
"Dell G Series, 13th Gen Intel Core i5-13450HX, NVIDIA RTX 3050-6GB, 16GB DDR5, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, 2.65KG, G15-5530, Backlit Keyboard, Gaming Laptop","78,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71FJAKQJ0JL._AC_UY218_.jpg,Ad
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU","47,600",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61R5Ecv7i-L._AC_UY218_.jpg,Organic
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" NT FHD 120Hz IPS AG 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light- 1.63Kg","49,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/717WZ7WriwL._AC_UY218_.jpg,Organic
"Lenovo IdeaPad Slim 3 Ryzen 5 40 15.6"" (39.6cm) FHD Thin and Light Laptop (16GB RAM/512GB SSD/Integrated AMD Radeon 610M Graphics/Windows 11/Microsoft 365 Basic + Office 2024/Grey/1.6Kg), 82XQ01HQIN","63,990",N/A,https://m.media-amazon.com/images/I/71ytxAumRiL._AC_UY218_.jpg,Organic
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","52,690",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71FXHAM+jWL._AC_UY218_.jpg,Organic
"Acer Aspire One, Intel Core Celeron N4500, Office 2024 + M365 Basic, 12GB LPDDR4X RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.3KG, A114-45, Thin and Light Laptop","35,990",1.0 out of 5 stars,https://m.media-amazon.com/images/I/71I0Oo7W2-L._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop","61,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/818iNyzckGL._AC_UY218_.jpg,Organic
"ASUS Vivobook Go 14, AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, FHD, 14"", 60Hz,42WHrs, Windows 11, M365 Basic (1Year)*,Office Home 2024, Mixed Black, 1.38 kg, E1404FA-EB774WS, Thin & Light Laptop","46,990",4.4 out of 5 stars,https://m.media-amazon.com/images/I/71AfM5k3J4L._AC_UY218_.jpg,Organic
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN","44,911",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,Organic
"Lenovo Yoga Slim 7, Intel Core Ultra 5 125H, 16GB RAM, 512GB SSD, AI PC, WUXGA-OLED, 14""/35.5cm, Windows 11, Microsoft 365 Basic + Office 2024, Grey, 1.39Kg, 83CV00DFIN, AI Powered Laptop","84,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81PaO9Q1WFL._AC_UY218_.jpg,Ad
"Lenovo Smartchoice Ideapad Slim 3, 13th Gen Intel Core i7 13620H, 16GB RAM, 512GB SSD, WUXGA IPS, 15.3""/38.8cm, Win 11, Office 2024, Top Metal Cover Grey, 1.6Kg, 83K100CJIN/S1IN, Backlit KB, Laptop","76,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71IjxF4prWL._AC_UY218_.jpg,Ad
"acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg","46,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71JEGsayyGL._AC_UY218_.jpg,Organic
"HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3130AX, Backlit, DTS Audio, Gaming Laptop","87,490",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71r2ySSfgBL._AC_UY218_.jpg,Organic
"HP 15, AMD Ryzen 7 7730U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Office Home24, Silver,1.59kg, FC0761AU, FHD Camera w/privacy shutter, Backlit Laptop","61,990",N/A,https://m.media-amazon.com/images/I/71tOA+fvkDL._AC_UY218_.jpg,Organic
"acer Nitro V 15, AMD Ryzen 5 6600H Hexa-core Processor,NVIDIA GeForce RTX 4050-6GB GDDR6,16 GB, 512 GB, Full HD IPS, 15.6""/39.62 cm, 165 Hz, Win 11 Home,Obsidian Black, 2.1 kg, ANV15-41,Gaming Laptop","75,990",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71l3rBy8IPL._AC_UY218_.jpg,Organic
"acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","36,990",3.5 out of 5 stars,https://m.media-amazon.com/images/I/41bdNUDc8pL._AC_UY218_.jpg,Organic
"HP 255R G10 Notebook (AMD Athlon Silver 7120U /8GB/512GB/DOS) 15.6-inch(39.6cm), Anti-Glare, HD Laptop, Radeon Graphics, Silver,1.52kg","39,800",N/A,https://m.media-amazon.com/images/I/71rDlgf2Q6L._AC_UY218_.jpg,Organic
"Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Sky Blue","1,10,900",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71kKQjKzW1L._AC_UY218_.jpg,Organic
𝗟𝗲𝗻𝗼𝘃𝗼Model L490 Laptop | Core i5 8th Gen | 8GB RAM | 256GB SSD | 14-inch Full HD Display Win 10 pro | A+ Condition (PRE-Owned & Tested),"20,899",N/A,https://m.media-amazon.com/images/I/51s9b2rKZ7L._AC_UY218_.jpg,Organic
"Lenovo LOQ 2025 AMD Ryzen 7 250| NVIDIA RTX 5060 8GB (24GB RAM/1TB SSD/144Hz Refresh Rate/572 AI TOPS/15.6"" (39.6cm)/Windows 11/Office 2024/3 Mon. Game Pass/Grey/2.4Kg), 83JG008MIN","1,36,790",4.9 out of 5 stars,https://m.media-amazon.com/images/I/816vnY-8LuL._AC_UY218_.jpg,Ad
